goal_x,goal_y,goal_z,goal_roll,goal_pitch,goal_yaw,feedback_x,feedback_y,feedback_z,feedback_roll,feedback_pitch,feedback_yaw
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.177,-0.0002,0.2881,-2.833,1.458,-2.794
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1784,-0.0004,0.2862,-2.871,1.45,-2.844
-0.0628,-0.3349,0.1343,2.988,1.481,-3.1,-0.0628,-0.3345,0.1368,2.938,1.48,3.111
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1801,-0.0154,0.2861,-2.825,1.454,-2.878
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.177,-0.0006,0.2881,-2.815,1.458,-2.783
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2288,0.2862,0.1833,-3.072,1.147,-3.046
0.2104,0.297,0.147,-2.988,1.072,-3.002,0.2177,0.2975,0.1599,-3.015,1.099,-2.998
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2178,0.2974,0.1565,-3.041,1.108,-3.046
0.2503,0.2699,0.1607,1.495,1.513,3.088,0.2499,0.2697,0.1604,1.603,1.502,-3.099
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1876,0.0054,0.2829,-2.931,1.441,-2.837
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1771,-0.0005,0.2881,-2.828,1.46,-2.791
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1836,-0.0002,0.2789,-2.898,1.446,-2.87
-0.0269,-0.3314,0.1455,1.227,1.566,1.272,-0.0261,-0.331,0.1509,2.149,1.564,2.17
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1789,-0.012,0.2865,-2.838,1.449,-2.872
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.177,-0.0002,0.2881,-2.826,1.458,-2.794
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.223,0.2965,0.1701,-3.026,1.124,-2.998
0.2104,0.297,0.147,-2.988,1.072,-3.002,0.2196,0.2975,0.1623,-3.015,1.109,-2.993
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2181,0.2976,0.1577,-3.042,1.109,-3.046
0.2503,0.2699,0.1607,1.495,1.513,3.088,0.2495,0.2695,0.1606,1.615,1.498,-3.096
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1817,0.0013,0.2847,-2.884,1.449,-2.827
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.177,-0.0004,0.2881,-2.844,1.459,-2.808
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1795,-0.0002,0.2848,-2.903,1.448,-2.875
-0.0576,-0.3339,0.1477,-3.112,1.49,-3.083,-0.0545,-0.3335,0.1564,-3.008,1.488,-3.026
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1776,-0.0065,0.2873,-2.815,1.456,-2.821
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1769,-0.0006,0.2881,-2.817,1.456,-2.787
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2252,0.2927,0.1768,-3.052,1.138,-3.022
0.2104,0.297,0.147,-2.988,1.072,-3.002,0.2142,0.2976,0.1535,-3.009,1.086,-3.005
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2224,0.2971,0.1632,-3.047,1.133,-3.041
0.2503,0.2699,0.1607,1.495,1.513,3.088,0.2487,0.2706,0.1604,1.717,1.488,-3.053
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.182,0.0015,0.2845,-2.885,1.449,-2.825
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.177,-0.0004,0.2881,-2.843,1.459,-2.808
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1823,-0.0002,0.2803,-2.901,1.444,-2.873
0.0441,0.2917,0.2168,3.135,1.132,-3.078,0.0626,0.2855,0.2236,3.083,1.14,3.121
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2117,0.3007,0.1757,-3.086,1.153,-3.058
0.2104,0.297,0.147,-2.988,1.072,-3.002,0.2139,0.2975,0.1522,-3.001,1.092,-2.996
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2235,0.2972,0.1649,-3.05,1.141,-3.041
0.2503,0.2699,0.1607,1.495,1.513,3.088,0.2492,0.2702,0.1604,1.712,1.49,-3.054
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1786,-0.0002,0.2862,-2.86,1.454,-2.819
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1772,-0.0004,0.2881,-2.836,1.462,-2.799
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1796,-0.0002,0.2842,-2.904,1.447,-2.878
0.0441,0.2917,0.2168,3.135,1.132,-3.078,0.0563,0.288,0.2212,3.106,1.138,-3.128
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.222,0.2981,0.1709,-3.067,1.146,-3.051
0.2104,0.297,0.147,-2.988,1.072,-3.002,0.2188,0.2981,0.1609,-3.027,1.122,-3.01
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2188,0.2971,0.1576,-3.036,1.114,-3.039
0.2503,0.2699,0.1607,1.495,1.513,3.088,0.2498,0.2696,0.1604,1.633,1.5,-3.07
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1854,0.0039,0.2831,-2.932,1.438,-2.851
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1772,-0.0005,0.2881,-2.823,1.461,-2.786
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.182,-0.0003,0.2812,-2.886,1.445,-2.858
-0.0378,-0.3307,0.1594,3.087,1.488,3.119,-0.0327,-0.3294,0.1724,-2.998,1.485,-3.068
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1786,-0.0104,0.2866,-2.83,1.452,-2.855
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.177,-0.0005,0.2881,-2.824,1.458,-2.795
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1766,-0.0004,0.288,-2.87,1.452,-2.84
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2254,0.2918,0.1778,-3.051,1.14,-3.018
0.2104,0.297,0.147,-2.988,1.072,-3.002,0.2213,0.297,0.1649,-3.031,1.114,-3.008
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2207,0.2972,0.1609,-3.04,1.123,-3.035
0.2503,0.2699,0.1607,1.495,1.513,3.088,0.2484,0.2712,0.161,1.747,1.486,-3.064
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1852,0.0039,0.2831,-2.934,1.435,-2.856
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1773,-0.0005,0.2881,-2.812,1.464,-2.777
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1769,-0.0005,0.2881,-2.839,1.455,-2.804
0.0441,0.2917,0.2168,3.135,1.132,-3.078,0.0489,0.2913,0.218,3.098,1.142,-3.128
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2086,0.3003,0.1771,-3.07,1.15,-3.039
0.2104,0.297,0.147,-2.988,1.072,-3.002,0.2149,0.2979,0.1542,-3.018,1.099,-3.01
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2212,0.2972,0.162,-3.03,1.13,-3.024
0.2503,0.2699,0.1607,1.495,1.513,3.088,0.2495,0.2703,0.1604,1.691,1.496,-3.068
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.185,0.0039,0.2833,-2.934,1.436,-2.853
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1768,-0.0004,0.2881,-2.86,1.454,-2.82
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1769,-0.0004,0.2881,-2.853,1.456,-2.816
0.0441,0.2917,0.2168,3.135,1.132,-3.078,0.0661,0.2841,0.2246,3.076,1.145,3.112
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2211,0.2987,0.1719,-3.08,1.154,-3.065
0.2104,0.297,0.147,-2.988,1.072,-3.002,0.2141,0.2977,0.153,-2.998,1.095,-2.998
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2131,0.2974,0.1495,-3.023,1.09,-3.034
0.2503,0.2699,0.1607,1.495,1.513,3.088,0.2489,0.2706,0.1604,1.711,1.492,-3.053
0.2205,0.1281,0.2462,-2.946,1.047,-2.619,0.2209,0.1283,0.246,-2.946,1.056,-2.619
0.2205,0.1281,0.2462,-2.946,1.047,-2.619,0.2208,0.1282,0.246,-2.948,1.054,-2.619
0.2205,0.1281,0.2462,-2.946,1.047,-2.619,0.2208,0.1282,0.246,-2.945,1.054,-2.616
0.2205,0.1281,0.2462,-2.946,1.047,-2.619,0.2208,0.1282,0.246,-2.945,1.054,-2.616
0.2205,0.1281,0.2462,-2.946,1.047,-2.619,0.2208,0.1282,0.246,-2.945,1.054,-2.616
0.2205,0.1281,0.2462,-2.946,1.047,-2.619,0.2208,0.1282,0.246,-2.945,1.054,-2.616
0.2205,0.1281,0.2462,-2.946,1.047,-2.619,0.2208,0.1282,0.246,-2.945,1.054,-2.616
0.2205,0.1281,0.2462,-2.946,1.047,-2.619,0.2208,0.1282,0.246,-2.945,1.054,-2.616
0.2003,0.1213,0.3384,-3.089,1.279,-2.766,0.2002,0.1214,0.3384,-3.094,1.279,-2.771
0.2003,0.1213,0.3384,-3.089,1.279,-2.766,0.2003,0.1213,0.3384,-3.089,1.279,-2.766
0.2003,0.1213,0.3384,-3.089,1.279,-2.766,0.2003,0.1214,0.3384,-3.092,1.281,-2.767
-0.0099,-0.2677,0.2539,2.699,1.103,2.806,0.0023,-0.267,0.255,2.697,1.099,2.823
0.2003,0.1213,0.3384,-3.089,1.279,-2.766,0.2011,0.1219,0.3383,-3.112,1.299,-2.783
-0.0099,-0.2677,0.2539,2.699,1.103,2.806,-0.0071,-0.2668,0.2542,2.675,1.098,2.782
0.2003,0.1213,0.3384,-3.089,1.279,-2.766,0.2012,0.1219,0.3383,-3.105,1.302,-2.78
0.2003,0.1213,0.3384,-3.089,1.279,-2.766,0.2007,0.1216,0.3384,-3.101,1.29,-2.772
0.1373,0.0946,0.2001,2.926,1.065,-2.732,0.1373,0.0946,0.2001,2.926,1.065,-2.732
0.1373,0.0946,0.2001,2.926,1.065,-2.732,0.1373,0.0946,0.2001,2.926,1.065,-2.732
-0.0099,-0.2677,0.2539,2.699,1.103,2.806,-0.0076,-0.2669,0.254,2.682,1.096,2.792
0.15,-0.2436,0.2796,3.13,1.4,3.141,0.1518,-0.2426,0.2796,3.131,1.405,3.134
0.1586,-0.2634,0.1819,2.559,1.145,2.688,0.1579,-0.2621,0.1881,2.564,1.145,2.676
0.15,-0.2436,0.2796,3.13,1.4,3.141,0.1503,-0.2449,0.2775,-3.123,1.39,-3.104
0.2338,-0.0625,0.1628,2.293,1.417,2.444,0.2333,-0.0758,0.1674,2.318,1.415,2.45
